chunk_size,chunk_overlap,retrieval_accuracy,answer_accuracy,K_value
300.0,0.0,0.6833333333333333,0.5,
300.0,50.0,0.7166666666666666,0.5,
300.0,100.0,0.7166666666666666,0.5333333333333334,
300.0,150.0,0.7166666666666666,0.4666666666666666,
500.0,0.0,0.7666666666666666,0.7166666666666666,
500.0,50.0,0.9,0.75,
500.0,100.0,0.9333333333333332,0.8,
500.0,150.0,0.8,0.7,
800.0,0.0,0.9,0.8333333333333334,
800.0,50.0,0.9,0.7333333333333334,
800.0,100.0,0.9,0.7666666666666667,
800.0,150.0,0.9,0.6666666666666667,
1000.0,0.0,0.9333333333333332,0.8333333333333333,
1000.0,50.0,0.9,0.8333333333333333,
1000.0,100.0,0.9333333333333332,0.9,
1000.0,150.0,0.9333333333333332,0.9,
,,0.8666666666666668,0.7333333333333333,1.0
,,0.9333333333333332,0.9,2.0
,,0.9333333333333332,0.8666666666666668,3.0
,,0.9333333333333332,0.9,4.0
,,0.9333333333333332,0.9,5.0
